elevator,reason,out_of_service,first_missed,estimated_return,difference (min),duration (min)
EL107,Under Investigation,Wed Feb 21 2018 03:30:00 GMT-0500 (EST),Wed Feb 21 2018 14:03:38 GMT-0500 (EST),Wed Feb 21 2018 05:00:00 GMT-0500 (EST),543.6399666666667,633.6399666666667
EL229,Inspection,Wed Feb 21 2018 05:08:00 GMT-0500 (EST),Wed Feb 21 2018 14:03:38 GMT-0500 (EST),Wed Feb 21 2018 11:00:00 GMT-0500 (EST),183.63996666666665,535.6399666666667
EL414,Maintenance,Wed Feb 21 2018 04:55:00 GMT-0500 (EST),Wed Feb 21 2018 14:03:38 GMT-0500 (EST),Wed Feb 21 2018 11:00:00 GMT-0500 (EST),183.63996666666665,548.6399666666667
EL202,Maintenance,Wed Feb 21 2018 04:55:00 GMT-0500 (EST),Wed Feb 21 2018 14:03:38 GMT-0500 (EST),Wed Feb 21 2018 11:00:00 GMT-0500 (EST),183.63996666666665,548.6399666666667
EL180,Maintenance,Wed Feb 21 2018 04:45:00 GMT-0500 (EST),Wed Feb 21 2018 14:03:38 GMT-0500 (EST),Wed Feb 21 2018 11:00:00 GMT-0500 (EST),183.63996666666665,558.6399666666667
EL232,Maintenance,Wed Feb 21 2018 04:28:00 GMT-0500 (EST),Wed Feb 21 2018 05:14:02 GMT-0500 (EST),Wed Feb 21 2018 11:00:00 GMT-0500 (EST),-345.9566833333334,46.04331666666667
EL706,Maintenance,Wed Feb 21 2018 04:23:00 GMT-0500 (EST),Wed Feb 21 2018 14:03:38 GMT-0500 (EST),Wed Feb 21 2018 11:00:00 GMT-0500 (EST),183.63996666666665,580.6399666666667
EL409,Maintenance,Wed Feb 21 2018 04:05:00 GMT-0500 (EST),Wed Feb 21 2018 14:03:38 GMT-0500 (EST),Wed Feb 21 2018 11:00:00 GMT-0500 (EST),183.63996666666665,598.6399666666667
EL408,Cleaning,Wed Feb 21 2018 04:15:00 GMT-0500 (EST),Wed Feb 21 2018 05:15:19 GMT-0500 (EST),Wed Feb 21 2018 11:00:00 GMT-0500 (EST),-344.67185,60.32815
EL721,Maintenance,Wed Feb 21 2018 04:20:00 GMT-0500 (EST),Wed Feb 21 2018 14:03:38 GMT-0500 (EST),Wed Feb 21 2018 11:00:00 GMT-0500 (EST),183.63996666666665,583.6399666666667
